Symbol,Sector,,,,,
ONESOURCE,Biotechnology,,,,,
SUNTV,TV Channels & Broadcasters,,,,,
POLYMED,Health Care Equipment & Supplies,,,,,
PSB,Public Banks,,,,,
MANAPPURAM,Consumer Finance,,,,,
IIFL,Investment Banking & Brokerage,,,,,
ATUL,Diversified Chemicals,,,,,
PGEL,Electronic Equipments,,,,,
CASTROLIND,Commodity Chemicals,,,,,
FORCEMOT,Four Wheelers,,,,,
KFINTECH,Business Support Services,,,,,
PTCIL,Iron & Steel,,,,,
CHAMBLFERT,Fertilizers & Agro Chemicals,,,,,
CROMPTON,Home Electronics & Appliances,,,,,
KARURVYSYA,Private Banks,,,,,
SUNDRMFAST,Auto Parts,,,,,
BASF,Diversified Chemicals,,,,,
CREDITACC,Consumer Finance,,,,,
DCMSHRIRAM,Diversified Chemicals,,,,,
ANANDRATHI,Asset Management,,,,,
SAGILITY,Specialized Finance,,,,,
HATSUN,FMCG - Foods,,,,,
DEVYANI,Restaurants & Cafes,,,,,
TRITURBINE,Heavy Electrical Equipments,,,,,
EIDPARRY,Sugar,,,,,
KPIL,Power Infrastructure,,,,,
CAMS,Diversified Financials,,,,,
ASAHIINDIA,Auto Parts,,,,,
APLLTD,Pharmaceuticals,,,,,
VINATIORGA,Specialty Chemicals,,,,,
NXST,Real Estate,,,,,
MINDSPACE,Real Estate,,,,,
SCHNEIDER,Heavy Electrical Equipments,,,,,
RATNAMANI,Building Products - Pipes,,,,,
KANSAINER,Paints,,,,,
AADHARHFC,Consumer Finance,,,,,
DEEPAKFERT,Fertilizers & Agro Chemicals,,,,,
OLAELEC,Two Wheelers,,,,,
ANANTRAJ,Real Estate,,,,,
CONCORDBIO,Pharmaceuticals,,,,,
MANYAVAR,Textiles,,,,,
BEML,Rail,,,,,
GRINDWELL,Industrial Machinery,,,,,
ABLBL,Retail - Apparel,,,,,
CHALET,"Hotels, Resorts & Cruise Lines",,,,,
CARBORUNIV,Industrial Machinery,,,,,
JUBLPHARMA,Pharmaceuticals,,,,,
KAJARIACER,Building Products - Ceramics,,,,,
NEULANDLAB,Pharmaceuticals,,,,,
JPPOWER,Renewable Energy,,,,,
FIRSTCRY,Retail - Apparel,,,,,
IEX,Power Trading & Consultancy,,,,,
ZENSARTECH,IT Services & Consulting,,,,,
GSPL,Gas Distribution,,,,,
ARE&M,Batteries,,,,,
BIKAJI,FMCG - Foods,,,,,
VENTIVE,"Hotels, Resorts & Cruise Lines",,,,,
UTIAMC,Asset Management,,,,,
IRCON,Construction & Engineering,,,,,
TECHNOE,Construction & Engineering,,,,,
KIOCL,Iron & Steel,,,,,
ACMESOLAR,Renewable Energy,,,,,
SIGNATURE,Real Estate,,,,,
WHIRLPOOL,Home Electronics & Appliances,,,,,
NATCOPHARM,Pharmaceuticals,,,,,
ELGIEQUIP,Industrial Machinery,,,,,
LMW,Industrial Machinery,,,,,
APTUS,Home Financing,,,,,
SAILIFE,Biotechnology,,,,,
VGUARD,Electrical Components & Equipments,,,,,
NAVA,Iron & Steel,,,,,
KIRLOSBROS,Industrial Machinery,,,,,
CGCL,Consumer Finance,,,,,
IFCI,Specialized Finance,,,,,
IGIL,Education Services,,,,,
ECLERX,Outsourced services,,,,,
NIVABUPA,Insurance,,,,,
LTFOODS,Packaged Foods & Meats,,,,,
HBLENGINE,Batteries,,,,,
AKZOINDIA,Specialty Chemicals,,,,,
BLUEJET,Pharmaceuticals,,,,,
SOBHA,Real Estate,,,,,
JMFINANCIL,Investment Banking & Brokerage,,,,,
INDIAMART,Online Services,,,,,
ELITECON,FMCG - Tobacco,,,,,
ZENTEC,Electronic Equipments,,,,,
